condition,ai_prompt 1,6 writing related items,ai_prompt 2,6 writing related items,ai_declaration,6 writing related items (line 1),6 writing related items (line 2)
EM,"write me plan for an essay with the topic For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.",writing parts,which concept is easier to write about?,brainstorming,in this essay i have used AI to help with planning. in no instance have i used ai to write my essay or pull notes from any sources used in this work,brainstorming,
EM,"Please find me some appropriate sources to back up this argument: ""insert argument here"". These need to be within the last 10-15 years, and any research conducted must have been performed scientifically. Please also cite the reference in APA7th.",literature review ,Now please generate some sources that argue against this. Please follow the same conditions as before.,literature review ,Limit your use of Generative AI to summarising texts and spell checking. We do not expect you to disclose your use of Generative AI but we do expect your work to be honest and human-made.,summarising,
EM,"pick a topic for a contemporary social perspective using three theoretical frameworks introduced in the course society, innovation and sustainability. this topic should not be heavily dependent on AI just a limited use of  AI is required",brainstorming,"Based on the course society, innovation and sustainability generate three topics that use three theoretical frameworks introduced in the course. The topic research should only have limited needs for AI contribution",brainstorming,"Note: AI was used in the essay in part of the research, summarization of used materials and correction and re-writing of parts of the essay paragraph. this AI use was followed based on the use of AI in this essay by the instructions given.",literature review ,summarising
MP,"Find me a technological issue which relates to sustainability, innovation and society which i can use what I've learned on this course to write 3000 words on. This should include the intro, main body, and conclusion",brainstorming,Based on the issue you have shown me. Strongman and strawman this issue.,writing parts,I have written this essay with the help from ai. Ai was used to review my writing and aid me in sourcing topics as well as their for and against arguments.,evaluating,literature review 
MP,"Can you give me a list of of modern day social, cultural and technological issues?",brainstorming,"Can you give me a list of theoretical frameworks for these modern day social, cultural and technological issues?",brainstorming,I used AI to help me narrow down the list of options for my essay and to help me decide which frameworks to use.  I did not use AI to draft my essay.,brainstorming,
MP,"i need your help to write my 3000 word summative essay for my undergraduate course its on Society, Innovation and Sustainability and i have chosen to write about a technological issue, first thing i need is your help deciding what technological issue would work best for this topic and best points to mention.",brainstorming,"Now i need your help to create a bullet point structure that we can use as a guideline to write this essay. dont write it for me as that would be unethical, just help me write it by giving me points to mention which i can reference in my work.",writing parts,"For this assignment, I have used Artificial Intelligence multiple times. I declare that I have not used AI for independent thought or creating ideas that aren't mine. I declare that I have used AI for looking over my work. Additionally, I have used it for summarising arguments from key theorists and also used it for general grammar checks. I have ensured that my use of Generative AI is compliant with the institution's policy and is ethically acceptable. The work in my assignment is my own independent thoughts and analysis, apart from work referenced to external sources within this assignment.",evaluating,summarising
AR,"As a technological expert, can you give me a project topic i can use as my final term paper that will focus on sustainability and innovation.",brainstorming,"As a cultural expert, can you give me a project topic that will focus on sustainability and innovation, limit your word usagae to 3000 words.",brainstorming,"Make sure your generation is within the context of discussion
Make sure to reduce the use of overly verbose english
Add references where applicable",brainstorming,
AR,I need to write an summative essay about Data Centres and their impact on the enviroment.  Help me plan out what will be the key arguments i make.,writing parts,now format it according to the three theoretical frameworks introduced in the course for this year.,writing parts,"Generative AI was used to help lightly refine and brainstorm certian ideas regarding the relevant arguments for the essay.
The essay does not include final outputs from the said AI model.",rewriting,
EM,Talk to me about theoretical frameworks that could be used to analyse and explain contemporary social issues.,brainstorming,"Thinking about cultural issues, which theories could be useful to explain how these issues come about?",brainstorming,"In the initial stages of planning this assignment, I made use of AI to assist me with the brainstorming and bringing together of ideas in a clear way. AI did NOT research or write any of this assignment for me.",brainstorming,
EM,"Give me possible ideas for a social, cultural, or technological issue related to Society, Innovation and Sustainability",brainstorming,"Suggest theoretical frameworks I could use to analyse  a social, cultural, or technological issue related to Society, Innovation and Sustainability",brainstorming,I used to summarise the arguments of some articles to determine whether they were relevant to my essay/whether to include them. I also used AI to check my essay was formatted and referenced correctly.,summarising,
EM,The rise of plant based food,writing parts,the social and sustainability impacts of fast fashion,writing parts,"In completing this essay, I used generative AI as a supportive tool to brainstorm topic ideas. All analysis, argument , interpretation and written content are entirely my own work and all sources have been properly cited in accordance with academic standards",brainstorming,
AR,"What three frameworks explore contemporary social, cultural, or technological issues?.",brainstorming,"What society, innovation and sustainability frameworks are there",brainstorming,I acknowledge that I have used generative AI tools in the creation and completion of this coursework.,writing parts,
MP,"What is a good contempary social, cultural, or technoligcal issue I could write a 3000 word essay about? Give me some title ideas, as well 3 theoretical frameworks I could discuss for each",brainstorming,"Edit my essay for grammar, clarity, and flow",rewriting,"I have used AI to help me ideate, research, and edit my work. However, all ideas are my own and work was originally written by myself.",rewriting,literature review 
EM,what relevant theoretical frameworks could i use in my essay?,brainstorming,"make me a structure for my essay including xyz frameworks based on the structure ""Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.""",writing parts,"in the planning of this essay i used ChatGPT give me some ideas for content along with a plan to follow. The work in this is entirely my own outside of the plan and occasional AI evaluations, critiquing my work.",brainstorming,
MP,this is my structure. help me perfect it,evaluating,help improve my grammar from this essay,rewriting,I used AI in this assignment to summarise papers and refine my grammatical use.,summarising,rewriting
AR,"I have a summative essay assessment for 3000 words on 2025/26 Society, innovation and sustainability, what framework will best describe it contemporary social, cultural or technological issues",brainstorming,what academic research has been done on any of the framework provided above,summarising,"This is a declaration to confirm that I have used AI in some part of this assessment and essay.
The use of AI to rewrite paragraphs and also for literature review.",rewriting,literature review 
EM,"What are some good sources to read about the most current theoretical frawmrowkes on contemporary social, adn technological ussues",literature review ,"Could you help me write a plan to get a 3000 word essay on thsi topic, here are my sources (link)s",writing parts,"Generative AI model (blank) was used in this essay to generate an essay plan and to help brainstorm ideas for the assignment, furthermore, AI was used to explore some new topics and ideas that were not mentioned in the course, which were then further investigated and researched by myself.",brainstorming,literature review 
MP,"Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument. can you give me some topic ideas",brainstorming,"can you create me a step by step help with this essay, heres the assignment Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.",writing parts,i have used ai to grammar check my essay to ensure no silly mistakes have occured,rewriting,
EM,"This is my essay brief; Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument. Please give me some ideas on topics, areas to explore",brainstorming,Could you give me an outline on how to set out this essay?,writing parts,"I used AI to help me brainstorm, to discuss ideas of format and layout and to check my work for errors such as grammar and spelling.",brainstorming,rewriting
MP,Generate a research plan for my 3000 essay on a social/cultural issue based on society/innovation/sustainability,brainstorming,Generate me a plan of how i can structure this essay,writing parts,"I have used generative AI to evaluate and review my writing, however for the most part - the actual text is not generated by AI - I have written it myself.",evaluating,
AR,"I am currently a university student and need to choose a topic for an upcoming essay, can you brain storm some ideas based on this “ For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic.”",brainstorming,"Ok I like that topic, can you now help me expand on this topic to come up with a good argument for the essay?",writing parts,"Overall, in my essay I would like to declare that I used AI for some help with this essay. My use of AI was only for brainstorming ideas and getting it to review my work to ensure I had done good, I did not use it to write anything in the essay and only used it as a small helper on the side.",brainstorming,evaluating
EM,"Could you help suggest some topic ideas for my essay, it is a 3000 word essay on a contemporary social, cultural or technological issue and i need to use three theoretical frameworks from this list (insert list from course) to analyse the topic",brainstorming,Could you provide me with some good sources to begin reading for ideas,literature review ,I acknowledge the University's Generative AI-use Policy and can confirm I have not used generative AI in my submission.,no AI,
EM,Please prepare plan for this question for 70% mark,writing parts,Make it human like and provide all of the references,writing parts,I declare not to use AI,no AI,
AR,"Write a 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks",writing parts,Give me some ideas about three theoretical approaches to immigration,writing parts,"I decided not to use generative Ai for any part of my essay brainstorming, writing and proofreading. I spent a few hours thinking about topics and approaches and immediately delved into my own research, mostly using online resources.",no AI,
MP,"Provide me with an essay plan for the following essay: 2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.",writing parts,"How would you approach the following essay question: 2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.",writing parts,"I declare that I have used AI to assist with obtaining an essay plan, reviewing my work for grammatical mistakes and for summarising complex research papers. I declare that this piece is compose of mostly my work with the slight assistance of AI, but all written words are my own.",evaluating,summarising
MP,Give me sources and their original links relating (chosen issue) to the (chosen theoretical framework),literature review ,Which points in (this source) could be applied to analysis of (this topic)? Give me the exact references within the source and the key points and words to structure my argument around.,writing parts,"AI was used to conduct a more thorough search for additional sources, and to give feedback on my original work. None of the written work was written by AI although advice was taken on board.",literature review ,evaluating
EM,"I am working on a summative essay for uni and I need to explore a range of theoretical frameworks from different disciplines. If I upload my notes from the module and my topic of focus, can you point out to me which theoretical frameworks go best with my topic?",brainstorming,"I have this article that I have cited in my summative essay. (inserts link of article). please write me a full Harvard style reference for this article, specifically page 2",,"AI-use declaration statement:
I confirm that AI was used both in the summarising of important concepts for further understanding in the planning stage of this essay, and in creating appropriate references in the editing stage of this essay. I also confirm that no AI was used for any other part of the essay writing process, and all of the words written are my own.",summarising,brainstorming
AR,"Which of these 3 theoretical frameworks links the most closely to one of the 3 issues (comtemporary social, cultural or technological)?",brainstorming,What is the best way to layout this 3000-word essay?,writing parts,I have used AI to summarise my own notes taken to split them into specific categories that will be used throughout my essay. I have also used AI to summarise information from sources in order to be more efficient in my work. All information taken from AI tools has been translated into my own words.,summarising,
AR,create a paragraph plan for a 3000 word summative essay which includes an introduction and a conclusion.,writing parts,Simplify the assignment question above to help with my 3000 summative essay.,brainstorming,throughout my assignment i have used AI to elaborate and guide me within my assignment. i have however used it sparsely within...,brainstorming,
AR,Write me a structured essay based on the following: {The whole essay question as described above},writing parts,Find relevant papers based on the following: {The whole essay question as described above}. Write a list which consists of the format: Paper | Why it is relevant | Brief summary of findings,summarising,"I have used an LLM to find some research papers, but all written work and structure is done by myself.",literature review ,
EM,"Briefly write 3 summary paragraphs for contemporary social, cultural, and technological issue in Society, Innovation and Sustainability. State literature sources.",summarising,Outline in bullet points the key themes of my chosen topic and potential research areas to explore further. State literature sources.,literature review ,I declare that AI has not been used in significant part in the formation of this essay. All work presented was produced by the author and AI was only used as a tool for idea exploration and for grammar and spellchecking.,brainstorming,
MP,Society,,Innovation and Sustainability,,"Ai is a tool, whereby it's use should not be denied.",,
EM,Provide options for topics to write this essay on with arguments for and against all,brainstorming,Help me structure the essay,writing parts,Used Generative AI to help pick a topic,brainstorming,
MP,"I want to restructure this introduction section, make of a bullet point list of the topics in a more logical order, so each builds off what is explained in precious paragraphs",rewriting,"Here are my results, the discussion and my conclusions. Are the conclusion really justified by the results/ discussion. Based on the results could a different discussion better support/ alter any of my conclusions",writing parts,"An LLM was used to help with the literature search, writing style and to proof read the essay",literature review ,evaluating
AR,"choose a contemporary social, cultural, or technological issue. using the provided course notes, provide three theoretical frameworks that could be used in the analysis of this topic.",brainstorming,create a brief outline for a 3000 word summative essay on this topic.,writing parts,AI was used to help meet *X assessment standard* established by this institution.,evaluating,
AR,can you help me with an essay for uni? I need to choose a topic,brainstorming,does this section sound like I'm being critical to get the higher marks? or am I just summarising,evaluating,"Ai was used in the essay writing process to help formulate initial topics, refine wording and reduce structure",brainstorming,
AR,"I need to write a 3,000-word essay for a module called Society, Innovation and Sustainability. Can you suggest five contemporary social, cultural, or technological issues that would be suitable for analysis using multiple theoretical frameworks? For each topic, explain why it is relevant and provide examples of academic sources I could research.",literature review ,"I am writing an essay on the impact of generative AI on higher education. I plan to use Actor-Network Theory, Technological Determinism, and Social Construction of Technology. Can you help me compare these frameworks, identify key debates between them, and suggest possible arguments I could develop in my essay?",writing parts,"I used a generative AI tool to help brainstorm potential essay topics and to compare theoretical frameworks relevant to my chosen topic. The AI was used for idea development and research guidance only; all analysis, argumentation, writing, and source selection are my own work.",brainstorming,literature review 
AR,"What is a contemporary social issue of society, innovation and sustainability including three theoretical frameworks?",brainstorming,Contemporary social issues of sustainability,brainstorming,I have used AI sparingly to help with topic discovery but have completed the essay in my own words. I also used this to help develop ideas but did not use it to evaluate or write my essay.,brainstorming,
EM,What is a social issue which i can write a 3000 word essay about,brainstorming,Include academic research from valid sources in this answer,writing parts,I can confim no use of AI written text was included in my work. All written text has been written and edied by myself with no further assisnace.,no AI,
EM,"Can you give me some inspiration for essay topics based on either a contemporary social, cultural or technological issue relating to society, innovation and sustainability?",brainstorming,What theoretical frameworks are there relevant to that topic?,brainstorming,Declaration of generative AI use. Generative AI was used to support learning around the topics of this essay.,,
AR,"Give me some ideas of contemporary social, cultural, or technological issues that have a lot of literature and coverage.",brainstorming,Explain the three theoretical frameworks (from the course) in an understandable way so I can use them for my writing.,brainstorming,"For this summative assignment, I employed the use of AI in several key instances, but not infringing instances. Initially, I used AI to help with brainstorming and idea generation for the kind of topic I was going to write about. Furthermore, AI helped me summarise and break down key concepts, including the frameworks used for my analysis, in order to help my writing process and the quality of the assignment. AI was not used to generate or write any of my material; AI was simply a tool to help my understanding to create a quality piece of work",brainstorming,summarising
AR,"Help select a social, cultural, or technical issue where I can use these three theoretical frameworks [listed] to analyse the topic.",writing parts,"Please demonstrate where I can apply the theoretical frameworks and arguments to these topics, and any associated readings that may help me do so.",literature review ,"Complying with the AI-use declaration, I have used limited AI in my submission except to brainstorm topics/ideas to explore for the assignment. Elsewhere, AI has not been used.",brainstorming,
EM,"I have an assignment due with the following brief. Do you have any suggestions of a good topic to focus on?   2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.",brainstorming,"Could you help me plan the assignment. Not write it but help me focus the flow of it, what to start with then each section following and what to talk about in those sections.",brainstorming,"For this assignment AI was used in the following ways. Brainstorming an interesting topic, planning the structure of the assignment, help finding relevant source material for research, to overview my completed assignment as a quality review.",literature review ,brainstorming
MP,"What are examples of contemporary social, cultural or technological issues within society, innovation and sustainability",brainstorming,link this example to the following theoretical frameworks (input the ones we had been taught),writing parts,"During this essay i used AI to help brainstorm ideas looking at which issues were most important in the current climate. Ai was not used for any of the resource gathering, writting, or debates presented.",brainstorming,
AR,please can you give me a technological issue,brainstorming,could you analyse this issue,writing parts,I have used AI as a reasearch and brainstorming tool. the AI has not done any of the work a search engine could not do and has not generated any of my work,brainstorming,
MP,"what theoretical framework can be used to analyse  a contemporary social, cultural, or technological issue",brainstorming,which authors are the best to use,literature review ,throughout this piece of work AI was used for grammar purposes and to get ideas for arguments for and against,brainstorming,
MP,Overview of Theoretical frameworks used in research,literature review ,History of the chosen issue,literature review ,I declare that I have used AI to aid with background research. It has also been used to refine sentence structure.,literature review ,rewriting
MP,"When discussing society, innovation and sustainability, what topic has more differing issues, social, cultural or technological?",brainstorming,Please create a 3000 word essay plan for this question: ...,writing parts,"In this essay, I have optimised my use of AI to help me in my decision to refine my question to a topic. I additionally used AI to help me in the planning process before I began writing this essay.",brainstorming,
AR,generate an outline of the essay,writing parts,generate content of the essay (include intext citations),writing parts,"genersative AI was used in a limited way to support proof reading and improve the clarity of writing. The idea, research, analysis and final submission are my own work.",rewriting,
AR,give me 3 theoretical frameworks from a range of various disciplines,brainstorming,apply these 3 frameworks to a social issue,writing parts,In line with the AI use policy I am declaring that I have used AI in the submission. It was only used for ideas generation and no other part of my essay used AI in any way,brainstorming,
AR,"I'm writing a 3000 word essay that's marked for my sustainability module. It asks me to ""choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument."" Please help me create a plan for how to structure this essay, covering all the bases of the question.",writing parts,"I am writing a 3000 word essay for my uni degree and I would really love to get a first/high grade on this work. This is the brief: ""choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument."" Please help me generate some basic ideas to get started",brainstorming,"Limited use of generative AI has occurred in this summative assessment, specifically to brainstorm initial ideas and to evaluate the finished essay for improvements prior to submission. It has not been used for any other part of the assignment.",brainstorming,evaluating
AR,"Can you suggest three relevant theoretical frameworks from social, cultural or technologys tudies that I could use to analyse this issue?",writing parts,Help me develop a structured argument for my essay and how might I build a cohesive argument,writing parts,I have asked AI to suggest three relevant theoretical frameworks and help me build a cohesive argument to complete this essay.,brainstorming,
AR,"What are the key academic areas being investigated based on this assignment? Provide me with 5 rich and Ivy league grade topics and explain your reasoning for context so that we can select the best topic to dive deep on. "" 2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.""",literature review ,"As an academic researcher, and based on option 1, prepare a 3000 word summative essay based on the below guideline. The output needs to be of Ivy league standard and ensure you come across clear, human and specific. Ensure your citations are in APA format and with credible sources - if you are unsure, highlight the grey areas and I will provide direction after reading and understanding your reasoning.",writing parts,"Declaration of Generative AI Use: I acknowledge using generative AI as an authorised, limited aid to help structure and refine this assignment. All core content, analysis, and final draft are my own original work.",brainstorming,
AR,"Take the criteria stated above, and summarise what areas I could look at",literature review ,Can you cross reference my work against the standards & grading criteria to ensure all points have been met?,writing parts,"I can declare that I have used generative Ai to assist my report writing when appropriate. In areas, you may find in text citations, where I have made citations from ai, as expected.",rewriting,
EM,"This is my essay brief, would you be able to give me a list of potential topics please. This is what I am interested in XYZ.",brainstorming,"This is my topic and title, could you give me an outline of things I should include?",writing parts,"In this essay AI was used to conduct an investigation on what topic my essay should be on, based on my interests. AI was later used to conduct an outline of things to make sure are included within my essay, this was for suggestions purposes and no Ai content was used to write my essay.",brainstorming,
MP,"suggest 3 suitable contemporary sustinability/innovation topics for a 3000 word essay, and match each with relevant theoretical frameworks from this course to build a clear analytical structure",writing parts,"help me outline a logical essay structure, identify key academic sources beyond course materials, and explain how to apply 3 chosen theories to analyse my selected topic without writing the full content for me",writing parts,"Generative AI was used only for brainstorming structure planning and clarity check all analysis, arguments and writing are my own original work",brainstorming,
MP,"give me examples of contemporary, social, cultural and technological issues",brainstorming,how to plan an essay,writing parts,"i have used Ai to summarize key points, explain concepts to me and help me decide which topics to write about.",summarising,brainstorming
AR,Can you suggest some current topics I could write about and how I might analyse them using three theories,writing parts,Can you look over my essay plan and tell me how I could improve my argument,writing parts,"I used AI to help brainstorm ideas, structure content, and improve clarity. Final work and analysis were my own. AI use is acknowledged in line with course policy.",brainstorming,
AR,"I have to create a 3000 word summative essay and I must choose a contemporary social, cultural, or technological issue using three frameworks introduced on my course.",writing parts,"Please give me ideas of content to use for  a 3000 word essay on social, cultural, or techological issues",writing parts,To advise that I used AI on a limited basis to brainstorm ideas and generate resources for my main argument. I can confirm that AI was not used to write any parts of the essay.,brainstorming,literature review 
EM,"What are some social, cultural and technological issues related to society, innovation and sustainability?",brainstorming,"Which of the above listed issues related to society, innovation and sustainability has the most discussion points and would be best to write an essay on?",brainstorming,"I can confirm that I used generative AI in the planning of this essay. I consulted the AI for ideas for the topic of my essay only. I did not use generative AI in any part of the writing, editing or literature review during this essay.",brainstorming,
EM,screenshot of assingment + DONT USE HYPENS,writing parts,screenshot assignment add the sources please,literature review ,"Generative AI was used to assist with proofreading and improving the clarity of writing in this essay. The research, analysis, conclusions, and final submission are the author's own work.",rewriting,
EM,"give me some contemporary social, cultural, or technological issues and the theoretical frameworks relating to them",literature review ,"what is this essay asking me to do: Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.",brainstorming,"i acknowledge my use of generative AI in this summative assignment. The purpose of my AI usage was to brainstorm initial ideas. The capacity in which I used AI was limited, this was to ensure fairness and transparency.",brainstorming,
AR,"I am writing an essay as part of my ""..."" university module. *Insert the guidelines and any other relevant material*. Read through this information and provide me with a structure that would best suit this essay.",rewriting,*Insert finalised draft*. Read through this essay and identify and grammatical errors as well as give me possible improvements for some sentences. Provide honest feedback and do not sugarcoat anything.,evaluating,I acknowledge that I have used AI in the development of this essay for... (Write what I used it for) (Usually universities provide you with a table and you have to tick what you have used it for),brainstorming,
AR,"what is an example of a contemporary social, cultural, or technological issue experienced by many people",brainstorming,how should i structure this essay,writing parts,"I used generative AI to aid my research and ideas, checking my understanding, and improving the quality and clarity of my work. All final content was reviewed, rewritten, and submitted by me. The use of AI has been acknowledged in accordance with the course policy,",brainstorming,literature review 
AR,What would be the best way to manage my time for this assignment? (insert some details here),brainstorming,I'm indecisive about which topic to choose for my assignment. Here are my options: (insert options). How do I pick which one?,brainstorming,"I used AI in order to brainstorm ideas and narrow down a topic, as well as for managing my time better. I did not use AI to write any of my essay, all analysis and critical thinking was my own.",brainstorming,
AR,"What are major contemporary social, cultural, or technological issues in the UK?",brainstorming,Identify research papers that address [theoretical framework or social / cultural/ technological issue I had chosen],literature review ,"I used [AI service that I had used] for [list of tasks that I used it for, e.g. initial brainstorming and topic selection]",brainstorming,
EM,"What is a a contemporary social, cultural, or technological issue",brainstorming,Analyse this using three theoretical frameworks,writing parts,I used AI as a tool to research and clarify any concepts I previously didn’t understand,literature review ,
AR,"I am required to write a 3000 word essay for my Society, Innovation and Sustainability module at University. Just one contemporary social, cultural or technological issue must be discussed using three theoretical frameworks used within the course (I will share the course material if required) and find genuine sources for the information.",writing parts,"Help me structure a 3000 world essay for my university assignment. It surround discussing a contemporary social, cultural or technological issue using three theoretical frameworks that I will share in the following messages, with sources if you can thanks",literature review ,"Generative AI was used in the assignment to aid in the visual representation of content, review for spelling and grammatical errors. I attest that all work and research is my own and all writing is my own work.",,
MP,"This is the brief for my assignment Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument. Can you give me a topic and plan layout in bullet points. Can you also include a more detailed plan for finalising my argument. Level 6 university.",writing parts,"Can you write me a plan, focus and prompt for a 3000 word essay on Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. I need 3 framewords and a wide range of academic reading",literature review ,I have used AI to help decide a focus and plan where I am going to go with my ideas. I then used it again at the end to grade my essay and come up with feedback points based on the university marking criteria so I could edit my work myself.,brainstorming,evaluating
AR,"Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument. Based on this framework develop a plan and basic research points for how I should do this",writing parts,Base the plan off of my specific schedule and how long I have to do it,brainstorming,"For this essay I have used generative ai to generate a plan, review my work and provide a basic overview of the topic. Ai has not been used to directly generate anything in my work",brainstorming,evaluating
EM,"in 3000 words ,analyse society ,innovation and sustainability",writing parts,"in 3000 words,analyse society,innovation and sustainability in regards to contemporary social,cultural and technological issues",writing parts,i was vrwy minimal in the use of AI,,
MP,How social cues can influence society's attitudes towards sustainability,writing parts,Does social class have an effect on sustainability behaviours,writing parts,"I used Generative AI to refine the topic when developing my research question, and to assist in finding relevant academic literature to review for use in my assignment",brainstorming,literature review 
EM,"Give me three theoretical frameworks on Society, Innovation and Sustainability",brainstorming,"Write a 3000 word summative essay, choose a contemporary social, cultural, or technological issue",writing parts,"During the preparation of this essay, I used an AI tool to brainstorm ideas, generate a structural outline and write some of the essay paragraph. I independently researched the sources, drafted most of the text and i take full responsibility for the final outcome and arguments presented in this work.",brainstorming,writing parts
MP,"I'm writing a 3000-word essay for a Society, Innovation and Sustainability module. I need to pick a contemporary issue and analyse it through three theoretical frameworks. I'm leaning towards AI in the workplace. Can you suggest frameworks that would genuinely fit this topic and explain why each one works?",brainstorming,"Here's my draft essay on algorithmic management. I've used Marxist labour theory, Foucault's surveillance concept, and Beck's risk society. Can you flag where my argument feels weak or where the links between frameworks and examples are unclear? Don't rewrite anything, just point out what needs work.",evaluating,"I used an AI tool at two points during this assignment: to explore potential theoretical frameworks at the planning stage, and to identify weaknesses in my argument before finalising my draft. All writing, research, and analysis is my own.""",brainstorming,evaluating
AR,"I'm writing an essay, using (Topic) for a course on 'Society, Innovation and Sustainability'. Can you suggest 3 or 4 theoretical frameworks from these fields that would be useful for analyzing it?""",brainstorming,"I am analyzing (Topic) using these three theories: (Theories 1, 2 and 3). Please, create a structural outline for a 3,000-word academic essay using this setup?",writing parts,"I acknowledge the use of generative AI tools, such as (Tool Name) to assist in the initial brainstorming of theoretical frameworks and in structuring my essay outline. The content and arguments presented in this submission are my own, and the AI tools were used in accordance with (University name) policies and assessment guidelines.",brainstorming,
EM,Provide me with a short summary overview of the 3 most prevalent frameworks on technological issues using sources from the past 5 years,brainstorming,Provide me a 500 word explanation of how these 3 farmeworks are generally employeed when in use. Provide journal sources from the past 5 years.,literature review ,For the purposes of this assignemt AI has been employed to gather information and brainstorm. I have used AI to get a general overview of the topic as well as some basic information. I have not used AI for anything beyond basic information gathering and collecting a general overview of the topic.,brainstorming,literature review 
EM,"Can you suggest three theoretical frameworks related to society, innovation and sustainability's topics",brainstorming,"To explore issues related to the contemporary social, cultural and technological fields, can you write off an example of what the best analysis strategy would be?",writing parts,"I declare to have used AI to help me brainstorm ideas that I then developed and expanded myself
AI tools were used to assess and evaluate my writing by conducting grammar checks and corrections",brainstorming,evaluating
MP,"What features of (topic) resemble the society , innovation and sustainability framework",brainstorming,"How well does (topic) follow this frame work, list the pros and cons",brainstorming,"Regarding the use of Ai, I used Microsoft Copilot when trying to comprehend certain theories, in which I asked it for help. Additionally, I also used it to conduct grammatical checks. Lastly, I used it to give me feedback on my essay.",evaluating,
MP,"Suggest easy essay topics about society, technology and sustainability, and explain which theories i can use for each one",brainstorming,Help me make a simple essay plan for my topic and show me how to use three theories to support my argument,writing parts,"I used Ai to help brainstorm essay topics, develop an outline, and review the clarity of my writing. AI was also used to suggest improvements to sentence structure, but all research, analysis, arguments, and final writing were completed and verified by me.",brainstorming,evaluating
EM,Kindly suggest a structure for a 300 words essay on the on the societal impact of innovation and technology for a sustainable digital economy,writing parts,Kindly comment on the adequacy of the topic for an academic writing,brainstorming,"In compliance with the instruction and regulation, i hereby declare that generative AI was used to refine my topic and for guidance on the structure of the essay.",brainstorming,
MP,"Can you give me a detailed list of different contemporary social, cultural and technological issues that are interesting topics to complete an essay on",brainstorming,Can you go into X in more detail and list some interesting sources I can research into in more depth?,literature review ,"AI tool ""Named of used AI"" used to simplify long sources and check the spelling and english used in the essay. AI was used to brainstorm ideas for the essay including topics and any relevant information to look into on that baseline.",literature review ,brainstorming
